iter	Logloss
0	0.5778505349
1	0.4931573695
2	0.4283204515
3	0.3812247107
4	0.3442061805
5	0.3173485237
6	0.2958779723
7	0.2787288439
8	0.2663510635
9	0.256962384
10	0.2491621631
11	0.2425101548
12	0.2371451878
13	0.2315553354
14	0.22791521
15	0.225166028
16	0.2225223897
17	0.2192585148
18	0.2168513973
19	0.2155866876
20	0.2135947431
21	0.2116565487
22	0.2095491368
23	0.2080444568
24	0.2073865204
25	0.2057928876
26	0.2036561938
27	0.2018628002
28	0.2009786657
29	0.2000701274
30	0.1996454555
31	0.1987676279
32	0.1980237892
33	0.1972064948
34	0.1961697981
35	0.1955272686
36	0.1940646001
37	0.1934748038
38	0.1927199474
39	0.1920294727
40	0.1903538247
41	0.1900311441
42	0.1889945762
43	0.1869610063
44	0.1857610258
45	0.1847147658
46	0.1839525986
47	0.1835696809
48	0.1824010803
49	0.1809695858
50	0.1801023383
51	0.1796622982
52	0.179166616
53	0.1778625463
54	0.1773622433
55	0.1766457302
56	0.1760356618
57	0.1757640026
58	0.174062831
59	0.1732731195
60	0.1721534809
61	0.1716359821
62	0.1707025638
63	0.1689123623
64	0.1684078633
65	0.167843153
66	0.1672484785
67	0.1670091388
68	0.1666211885
69	0.1655102251
70	0.1649827253
71	0.1643768658
72	0.1637753954
73	0.16216373
74	0.1611846834
75	0.1610269599
76	0.1598295021
77	0.1595468252
78	0.1592073348
79	0.1586211296
80	0.1576162247
81	0.1572872373
82	0.1566589175
83	0.1556681452
84	0.1549663568
85	0.1545399344
86	0.1538377985
87	0.1536199923
88	0.1525423009
89	0.1519653629
90	0.1512141491
91	0.1506693505
92	0.1500981531
93	0.1495666633
94	0.1471788011
95	0.145999466
96	0.1452754876
97	0.1448574058
98	0.143859992
99	0.1429400884
100	0.1419169323
101	0.1414902525
102	0.1408407725
103	0.1405030198
104	0.1397523208
105	0.1387847553
106	0.138371114
107	0.1376402238
108	0.1375498939
109	0.1369811162
110	0.1365593275
111	0.1356532219
112	0.1347818942
113	0.134530211
114	0.1340187359
115	0.1336712912
116	0.1329388049
117	0.1322832369
118	0.1322743172
119	0.1318761471
120	0.1314791998
121	0.1314429802
122	0.130770345
123	0.1303001092
124	0.1293125675
125	0.1292373612
126	0.1287751699
127	0.1284107094
128	0.1276047545
129	0.1269769882
130	0.1265760765
131	0.1263059232
132	0.1259628933
133	0.1256174565
134	0.1255853943
135	0.1238972227
136	0.1234335769
137	0.1226048399
138	0.1218864862
139	0.1210459979
140	0.1203270908
141	0.1195096161
142	0.1191141747
143	0.1187654171
144	0.1181161045
145	0.1173089268
146	0.1165787573
147	0.1158208634
148	0.1151882318
149	0.1140859178
150	0.1135670675
151	0.1127199248
152	0.1122121694
153	0.1118463189
154	0.1110832636
155	0.1108236261
156	0.1103857999
157	0.1097743414
158	0.1095293899
159	0.1092409209
160	0.1085661748
161	0.1077329973
162	0.1072848934
163	0.1061649009
164	0.1057514913
165	0.1049249489
166	0.1043484357
167	0.1041959701
168	0.1037267639
169	0.1037261203
170	0.1035563108
171	0.1035269645
172	0.1035265848
173	0.1031114055
174	0.1027547707
175	0.1021023818
176	0.1020762018
177	0.1020761117
178	0.1020761117
179	0.1020283596
180	0.1020283596
181	0.1015062336
182	0.1010180746
183	0.1005375161
184	0.1001152254
185	0.09967248885
186	0.09938096296
187	0.0993809694
188	0.09932962624
189	0.09872511176
190	0.09821953164
191	0.09780081914
192	0.09761521023
193	0.09730935871
194	0.09715513618
195	0.09692956867
196	0.09638505965
197	0.09602354026
198	0.0957958104
199	0.09536026239
