iter	Passed	Remaining
0	55	11025
1	62	6216
2	68	4516
3	74	3647
4	79	3084
5	83	2715
6	89	2457
7	93	2254
8	98	2089
9	103	1958
10	110	1893
11	114	1792
12	119	1717
13	123	1647
14	128	1582
15	132	1526
16	137	1476
17	142	1437
18	148	1413
19	153	1379
20	158	1348
21	162	1316
22	167	1287
23	172	1261
24	176	1236
25	180	1210
26	186	1197
27	191	1176
28	199	1173
29	203	1154
30	208	1137
31	214	1124
32	218	1106
33	223	1090
34	227	1072
35	232	1061
36	237	1047
37	242	1032
38	247	1023
39	254	1018
40	258	1003
41	263	991
42	268	978
43	272	966
44	277	955
45	281	943
46	286	932
47	291	921
48	295	911
49	300	900
50	304	889
51	309	882
52	314	872
53	319	864
54	323	853
55	330	848
56	334	840
57	339	830
58	345	825
59	349	816
60	354	807
61	360	801
62	364	792
63	369	786
64	374	777
65	378	769
66	383	761
67	387	752
68	391	744
69	396	736
70	401	729
71	405	721
72	410	714
73	415	707
74	420	700
75	424	692
76	429	685
77	434	678
78	438	671
79	443	665
80	448	658
81	453	651
82	458	646
83	463	639
84	468	634
85	475	629
86	479	622
87	483	615
88	488	609
89	493	602
90	497	596
91	502	590
92	507	583
93	512	577
94	516	570
95	520	564
96	525	557
97	529	551
98	536	547
99	542	542
100	547	536
101	554	532
102	558	526
103	564	521
104	569	514
105	573	508
106	577	501
107	581	495
108	585	489
109	589	482
110	593	476
111	597	469
112	602	463
113	606	457
114	610	451
115	614	444
116	619	439
117	623	433
118	627	427
119	632	421
120	636	415
121	640	409
122	645	403
123	649	398
124	654	392
125	659	387
126	665	382
127	670	377
128	674	371
129	679	365
130	685	361
131	689	355
132	694	349
133	699	344
134	703	338
135	707	333
136	712	327
137	717	322
138	721	316
139	726	311
140	731	306
141	738	301
142	743	296
143	748	291
144	753	285
145	757	280
146	763	275
147	768	269
148	772	264
149	777	259
150	783	254
151	788	248
152	793	243
153	798	238
154	803	233
155	809	228
156	814	223
157	819	217
158	824	212
159	830	207
160	834	202
161	840	197
162	844	191
163	850	186
164	856	181
165	861	176
166	866	171
167	871	165
168	875	160
169	880	155
170	885	150
171	889	144
172	893	139
173	898	134
174	904	129
175	909	124
176	913	118
177	917	113
178	921	108
179	926	102
180	929	97
181	934	92
182	939	87
183	945	82
184	949	77
185	954	71
186	959	66
187	963	61
188	967	56
189	972	51
190	977	46
191	982	40
192	986	35
193	990	30
194	995	25
195	1000	20
196	1004	15
197	1009	10
198	1014	5
199	1019	0
