Model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,pr_auc,mcc,combined_score
EasyEnsemble,0.6635127143701951,0.5324650681386924,0.07734806629834254,0.38181818181818183,0.12863705972434916,0.5510235179115635,0.07858781726647393,0.03429554692375571,0.10361243849541155
RUSBoost,0.8030751034890597,0.5267465930653786,0.08550185873605948,0.20909090909090908,0.12137203166226913,0.58841642228739,0.08379659869216459,0.036069058417629,0.10258431517721686
BalancedBagging,0.9024246008279124,0.49952274164797883,0.06349206349206349,0.03636363636363636,0.046242774566473986,0.5757432005060089,0.07672531251971548,-0.0012429347651342472,0.06148404354309474
XGBoost_Advanced,0.7681845062093435,0.512316715542522,0.07272727272727272,0.21818181818181817,0.10909090909090909,0.5472227013972744,0.0806320619567944,0.015328552726369066,0.09486148552385174
LightGBM_Advanced,0.9124778237729154,0.5006698867230177,0.06818181818181818,0.02727272727272727,0.03896103896103896,0.5705307342878501,0.08031085415100747,0.0020754893329702276,0.059635946556023216
HistGradientBoosting,0.92193968066233,0.5057299752745673,0.10714285714285714,0.02727272727272727,0.043478260869565216,0.5659019032833075,0.0834367361926383,0.022147253714655174,0.06345749853110176
MLP_Advanced,0.8876404494382022,0.49161635328618253,0.045454545454545456,0.03636363636363636,0.04040404040404041,0.4682134437352654,0.0673938503851749,-0.018617319196341537,0.053898945394607656
CatBoost,0.5103489059727971,0.5224512678971882,0.07057416267942583,0.5363636363636364,0.12473572938689217,0.5420648611350698,0.08039735888076069,0.022148634132284607,0.10256654413382643
DeepLearning,0.1407451212300414,0.4981887183025703,0.06480881399870382,0.9090909090909091,0.12099213551119177,0.521263872117762,0.07403414917879596,-0.0031612908271786,0.09751314234499386
VotingClassifier,0.89591957421644,0.5129607268127192,0.0975609756097561,0.07272727272727272,0.08333333333333333,0.5847421079868897,0.08126696280684405,0.029760257292610295,0.08230014807008869
StackingClassifier,0.918982850384388,0.5083778966131907,0.11428571428571428,0.03636363636363636,0.05517241379310345,0.5116525789201312,0.07223235115059926,0.0290243886945157,0.06370238247185135
